Institution Name,Main Office,Branch Name,Branch Number,Established Date,Acquired Date,Street Address,City,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits
JPMorgan Chase Bank,1,JPMorgan Chase Bank Main Office,0,01/01/1824,,1111 Polaris Parkway,Columbus,Delaware,OH,43240,40.14453,-82.99115,633131000,743268000,832455000,916543000,1032549000,1069425000,1155185000
JPMorgan Chase Bank,0,Vernon Hills Scarsdale Branch,2,03/20/1961,,676 White Plains Road,Scarsdale,Westchester,NY,10583,40.97008,-73.8067,293229,310791,325742,327930,327792,341475,381558
JPMorgan Chase Bank,0,Great Neck Northern Boulevard Branch,3,09/09/1963,,410 Northern Boulevard,Great Neck,Nassau,NY,11021,40.77944,-73.7224,191011,206933,216439,237983,234183,262455,278940
JPMorgan Chase Bank,0,North Hartsdale Branch,4,02/19/1966,,353 North Central Avenue,Hartsdale,Westchester,NY,10530,41.02654,-73.79168,87110,88367,93163,109659,111985,116772,140233
JPMorgan Chase Bank,0,Lawrence Rockaway Branch,5,01/16/1965,,335 Rockaway Turnpike,Lawrence,Nassau,NY,11559,40.62715,-73.73675,172608,172749,189413,198445,205198,223200,235594
JPMorgan Chase Bank,0,Mount Vernon Branch,9,02/25/1964,,22 West First Street,Mount Vernon,Westchester,NY,10550,40.91144,-73.83804,146820,136672,140678,154313,148707,145499,151949
JPMorgan Chase Bank,0,Castle Hill Branch,12,12/11/1965,,784 Castle Hill Avenue,Bronx,Bronx,NY,10473,40.82292,-73.84887,75131,80172,82333,94538,97046,107166,110592
JPMorgan Chase Bank,0,Burnside Avenue Branch,15,02/14/1922,,5 West Burnside Avenue,Bronx,Bronx,NY,10453,40.85389,-73.9076,39888,42546,43800,45867,51363,56693,62993
JPMorgan Chase Bank,0,Gun Hill Branch,16,12/18/1950,,1308 East Gun Hill Road,Bronx,Bronx,NY,10469,40.87151,-73.84823,73702,70049,70447,78946,80677,82756,88954
JPMorgan Chase Bank,0,Kingsbridge Road Branch,18,08/18/1924,,66 East Kingsbridge Road,Bronx,Bronx,NY,10468,40.86671,-73.89562,69778,72816,74729,75470,78759,83978,88674
JPMorgan Chase Bank,0,Riverdale Branch,20,06/01/1950,,3775 Riverdale Avenue,Bronx,Bronx,NY,10463,40.88763,-73.90737,304300,311508,330224,360791,367202,364435,387333
JPMorgan Chase Bank,0,Washington Heights Branch,21,01/02/1909,,1421 Saint Nicholas Avenue,New York City,New York,NY,10033,40.84941,-73.9337,136997,142882,151420,158669,157862,163336,179566
JPMorgan Chase Bank,0,Broadway Branch,22,07/12/1926,,5581 Broadway,Bronx,Bronx,NY,10463,40.87913,-73.90465,113665,112165,122634,126619,124031,134475,131545
JPMorgan Chase Bank,0,Westchester Square Branch,24,06/29/1959,,2725 East Tremont Avenue,Bronx,Bronx,NY,10461,40.84239,-73.84501,155289,157396,161177,169839,167495,183544,194609
