company	title	city	salary
Displate	Cloud Data Engineer	Warsawa	17000
Allegro	Data Engineer	All	12500
Connects	Data Engineer	Warsawa	25000
Trineo	Data Engineer	All	14000
Provectus	Data Engineer	All	None
Datumo	Data Engineer	Remote	8000
Tooploox	Data Engineer	Wroclaw	15000
Bosch	Data Engineer	Warsawa	None
Ergo Technology	Data Engineer	Warsawa	None
CDQ	Data Engineer	Wroclaw	17000
Nokia	Data Engineer	Wroclaw	None
Inuits	Data Engineer	Cracow	18480
Future Processing	Data Engineer	All	12100
Future Processing	Cloud Data Engineer	All	13500
Skills Master	Data Engineer	All	20000
PeopleTrust	Data Engineer	Cracow	19650
ITechArt	Data Engineer	Poznan	12000
Quantum	Data Science Engineer	Gdansk	10000
AXA	Azure Data Engineer	Gdansk	16000
Capco Poland	Data Engineer	Warsawa	20000
SIX	Data Engineer	Warsawa	16000
InTeam	Data Engineer	Warsawa	16800
Unity Group	Data Engineer	Wroclaw	20200
Accenture	Data Engineer	Warsawa	None
Kitopi	Data Engineer	Cracow	18000
deepsense.ai	Data Engineer	Warsawa	13000
STX Next	Data Engineer	Poznan	20160
Direct Communication	Data Engineer	Warsawa	18000
Miele	Data Engineer	Poznan	10000
Sigma IT 	Data Engineer	Wroclaw	22000
Hoist Finance	Data Engineer	Wroclaw	14000
Vivid 	Data Engineer	All 	None
Skeila	Data Engineer	Cracow	19000
Larsen & Toubro	Data Engineer	Warsawa	25000
Smartney	Data Engineer	Warsawa	None
Sunscrappers	Data Engineer	Warsawa	7000
Unit8	Data Engineer	Cracow	16000
Infinite Data	Data Engineer	All	11000
Packelp	Data Engineer	Warsawa	18000
Beesafe	Data Engineer	Warsawa	15000
BetterUp	Data Engineer	Remote	None
