name,cylinders,weight,year,territory,accelaration,mpg,horse_power,displacement
Chevrolet Chevelle Malibu,8,3504,1970,USA,12.0,18.0,130.0,307.0
Buick Skylark 320,8,3693,1970,USA,11.5,15.0,165.0,350.0
Plymouth Satellite,8,3436,1970,USA,11.0,18.0,150.0,318.0
Amc Rebel Sst,8,3433,1970,USA,12.0,16.0,150.0,304.0
Ford Torino,8,3449,1970,USA,10.5,17.0,140.0,302.0
Ford Galaxie 500,8,4341,1970,USA,10.0,15.0,198.0,429.0
Chevrolet Impala,8,4354,1970,USA,9.0,14.0,220.0,454.0
Plymouth Fury Iii,8,4312,1970,USA,8.5,14.0,215.0,440.0
Pontiac Catalina,8,4425,1970,USA,10.0,14.0,225.0,455.0
Amc Ambassador Dpl,8,3850,1970,USA,8.5,15.0,190.0,390.0
Citroen Ds-21 Pallas,4,3090,1970,USA,17.5,NULL,115.0,133.0
Chevrolet Chevelle Concours (Sw),8,4142,1970,USA,11.5,NULL,165.0,350.0
Ford Torino (Sw),8,4034,1970,USA,11.0,NULL,153.0,351.0
Plymouth Satellite (Sw),8,4166,1970,USA,10.5,NULL,175.0,383.0
Amc Rebel Sst (Sw),8,3850,1970,USA,11.0,NULL,175.0,360.0
Dodge Challenger Se,8,3563,1970,USA,10.0,15.0,170.0,383.0
Plymouth 'Cuda 340,8,3609,1970,USA,8.0,14.0,160.0,340.0
Ford Mustang Boss 302,8,3353,1970,USA,8.0,NULL,140.0,302.0
Chevrolet Monte Carlo,8,3761,1970,USA,9.5,15.0,150.0,400.0
Buick Estate Wagon (Sw),8,3086,1970,USA,10.0,14.0,225.0,455.0
Toyota Corona Mark Ii,4,2372,1970,USA,15.0,24.0,95.0,113.0
Plymouth Duster,6,2833,1970,USA,15.5,22.0,95.0,198.0
Amc Hornet,6,2774,1970,USA,15.5,18.0,97.0,199.0
Ford Maverick,6,2587,1970,USA,16.0,21.0,85.0,200.0
Datsun Pl510,4,2130,1970,USA,14.5,27.0,88.0,97.0
Volkswagen 1131 Deluxe Sedan,4,1835,1970,USA,20.5,26.0,46.0,97.0
Peugeot 504,4,2672,1970,USA,17.5,25.0,87.0,110.0
Audi 100 Ls,4,2430,1970,USA,14.5,24.0,90.0,107.0
Saab 99E,4,2375,1970,USA,17.5,25.0,95.0,104.0
Bmw 2002,4,2234,1970,USA,12.5,26.0,113.0,121.0
Amc Gremlin,6,2648,1970,USA,15.0,21.0,90.0,199.0
Ford F250,8,4615,1970,USA,14.0,10.0,215.0,360.0
Chevy C20,8,4376,1970,USA,15.0,10.0,200.0,307.0
Dodge D200,8,4382,1970,USA,13.5,11.0,210.0,318.0
Hi 1200D,8,4732,1970,USA,18.5,9.0,193.0,304.0
Datsun Pl510,4,2130,1970,USA,14.5,27.0,88.0,97.0
Chevrolet Vega 2300,4,2264,1970,USA,15.5,28.0,90.0,140.0
Toyota Corona,4,2228,1970,USA,14.0,25.0,95.0,113.0
Ford Pinto,4,2046,1970,USA,19.0,25.0,NULL,98.0
Volkswagen Super Beetle 117,4,1978,1970,USA,20.0,NULL,48.0,97.0
Amc Gremlin,6,2634,1970,USA,13.0,19.0,100.0,232.0
Plymouth Satellite Custom,6,3439,1970,USA,15.5,16.0,105.0,225.0
Chevrolet Chevelle Malibu,6,3329,1970,USA,15.5,17.0,100.0,250.0
Ford Torino 500,6,3302,1970,USA,15.5,19.0,88.0,250.0
